Date,AAPL_News_Volume,AAPL_Sentiment_Tone,MSFT_News_Volume,MSFT_Sentiment_Tone,GOOGL_News_Volume,GOOGL_Sentiment_Tone,NVDA_News_Volume,NVDA_Sentiment_Tone,META_News_Volume,META_Sentiment_Tone
2022-11-22,83,-0.3280276469409028,599,0.6983413606038986,31,-1.2055488813147015,166,0.019624595225998298,5226,-0.6520874637549589
2022-11-23,275,-4.7319071310535765,750,-0.012786844064764102,15,-0.5699328822832609,87,0.08138035727075513,5017,-0.749942270341207
2022-11-24,266,-4.2706409320932295,761,-0.13316142861664082,18,1.5866207299320647,68,0.46346274809104804,3599,-0.8825919716273871
2022-11-25,87,-2.5079478416637127,562,0.6377761841403502,8,0.9470201983570503,97,0.9875067555650373,3132,-0.6696171501981448
2022-11-26,31,-0.23103159342879068,329,0.5880459410035302,8,-0.48795694962796976,38,1.2258682650336132,2511,-0.48744061398252125
2022-11-27,16,-1.773382999817569,312,1.1344511405262594,6,-0.1365544839273365,41,1.321443088763292,2628,-0.7254922712930713
2022-11-28,119,-2.392320768176404,663,1.0561692980093278,29,-0.4423853830402308,95,0.9360333289349192,4347,-0.24251339662516813
2022-11-29,153,-2.2116636905350897,779,0.7126270376273796,45,-2.623570762513146,151,1.0045827930856928,5114,-0.5542835911695008
2022-11-30,119,-1.062499278113044,743,0.8350216157144361,57,-0.4616019151096493,139,0.7150488236361027,5581,-0.5921813724022442
2022-12-01,114,-1.360721756556738,792,0.6517708891639891,36,-1.4973063985080903,139,0.63447078459394,4827,-0.1832037505749193
2022-12-02,82,-0.39114018579431675,669,0.7966542144732082,34,1.270055788078784,147,0.20844087937710862,4472,-0.4314183347907706
2022-12-03,38,-1.8952662108315685,340,0.16507908626577364,12,0.6950689120133369,49,0.17907450465239508,3112,-0.6409419146366965
2022-12-04,61,-1.2744800737361381,294,-0.7575050967084085,6,1.2934882757922186,39,1.175964063639885,2839,-1.4910309111045823
2022-12-05,95,-0.9402448894443384,603,0.5914688138587085,55,0.11317411867027849,131,0.3360900802345038,5529,-0.3639328861761537
2022-12-06,130,-0.5655449502136418,880,0.3654675663404229,64,-0.6780985054955019,158,0.1925503623935852,5428,-0.44240801845954675
2022-12-07,136,-1.2206400947616587,1291,-0.32149281246290334,42,-0.5395845785942318,194,0.5084141920490125,4931,-0.5351075874597288
2022-12-08,123,-1.356469872008831,1492,-1.0864699287256232,90,-0.5493188978887807,114,0.2745341701071462,4873,-0.4797297433714457
2022-12-09,67,-1.3605985083442476,1345,-1.0942679913782332,34,-0.5526132966795325,95,0.03806073561119226,4125,-0.5213668519843866
2022-12-10,27,0.18040859123478747,363,0.20696288025669282,9,-1.0569318629640994,43,0.20541247968795898,3399,-1.0892189051707726
